date,portfolio_value
2024-07-07,117036458.68424192
2024-07-08,116183145.98618408
2024-07-09,116828096.05729418
2024-07-10,116738959.71601863
2024-07-11,116631959.1197523
2024-07-12,116699151.5091101
2024-07-13,116699151.5091101
2024-07-14,116699151.5091101
2024-07-15,116541714.92635013
2024-07-16,116621362.23723044
2024-07-17,115597473.70784636
2024-07-18,116040858.62170127
2024-07-19,116048259.656941
2024-07-20,116048259.656941
2024-07-21,116048259.656941
2024-07-22,116173707.08592467
2024-07-23,115995399.05330415
2024-07-24,116111743.68549022
2024-07-25,116069943.10640804
2024-07-26,117633578.93616588
2024-07-27,117633578.93616588
2024-07-28,117633578.93616588
2024-07-29,117985744.28794593
2024-07-30,118016610.24293344
2024-07-31,118136309.818801
2024-08-01,117366920.10517442
2024-08-01,117108261.01896936
2024-08-02,117349934.11105555
2024-08-03,117349934.11105555
2024-08-04,117349934.11105555
2024-08-05,116502499.37724975
2024-08-06,116952034.33864556
2024-08-07,117154786.77446291
2024-08-08,117202691.8125321
2024-08-09,117343950.48772371
2024-08-10,117343950.48772371
2024-08-11,117343950.48772371
2024-08-12,117925357.30604938
2024-08-13,117817514.35631457
2024-08-14,118097412.26751418
2024-08-15,118122469.21421236
2024-08-16,119345870.73962979
2024-08-17,119345870.73962979
2024-08-18,119345870.73962979
2024-08-19,119590051.9744847
2024-08-20,119838826.98266865
2024-08-21,119811474.36558302
2024-08-22,119761061.22612463
2024-08-23,119886574.17871816
2024-08-24,119886574.17871816
2024-08-25,119886574.17871816
2024-08-26,119875036.20890526
2024-08-27,119969868.9776533
2024-08-28,119757892.21999845
2024-08-29,119889031.20756227
2024-08-30,120343764.36145282
2024-08-31,120343764.36145282
2024-09-01,120343764.36145282
2024-09-01,120253246.5039704
2024-09-02,120253246.5039704
2024-09-03,120253246.5039704
2024-09-04,119893195.08046496
2024-09-05,119258751.89545134
2024-09-06,119026430.9848799
2024-09-07,119026430.9848799
2024-09-08,119026430.9848799
2024-09-09,118950982.7479027
2024-09-10,118423677.65267818
2024-09-11,117941720.36394271
2024-09-12,117365806.69869828
2024-09-13,117722300.56992568
2024-09-14,117722300.56992568
2024-09-15,117722300.56992568
2024-09-16,117837009.4040525
2024-09-17,118352824.40609187
2024-09-18,118393678.92072685
2024-09-19,118004601.45991942
2024-09-20,118049107.80610934
2024-09-21,118049107.80610934
2024-09-22,118049107.80610934
2024-09-23,114055790.88928436
2024-09-24,114244479.77852403
2024-09-25,113823829.962811
2024-09-26,114570053.4915219
2024-09-27,114565666.33440551
2024-09-28,114565666.33440551
2024-09-29,114565666.33440551
2024-09-30,113901374.32236846
2024-10-01,114418031.11175476
2024-10-01,113847535.70144191
2024-10-02,113337008.81007047
2024-10-03,112830555.53184558
2024-10-04,112071052.82666402
2024-10-05,112071052.82666402
2024-10-06,112071052.82666402
2024-10-07,111409264.67194371
2024-10-08,112302423.30531988
2024-10-09,112611141.90158293
2024-10-10,112629607.79552986
2024-10-11,113738110.43387765
2024-10-12,113738110.43387765
2024-10-13,113738110.43387765
2024-10-14,113657792.57250476
2024-10-15,113304691.19615576
2024-10-16,113124811.30620402
2024-10-17,113530365.33414157
2024-10-18,113325997.75610653
2024-10-19,113325997.75610653
2024-10-20,113325997.75610653
2024-10-21,113990390.247666
2024-10-22,113983973.4484326
2024-10-23,115179286.97704412
2024-10-24,114757249.69514519
2024-10-25,114266328.61631605
2024-10-26,114266328.61631605
2024-10-27,114266328.61631605
2024-10-28,114105330.06036109
2024-10-29,113776330.06546234
2024-10-30,113415555.56373382
2024-10-31,113337272.7376524
2024-11-01,113553503.56895852
2024-11-01,113011246.82281645
2024-11-02,113011246.82281645
2024-11-03,113011246.82281645
2024-11-04,112639256.49996942
2024-11-05,112572650.63477252
2024-11-06,112748695.10090421
2024-11-07,112754050.25571726
2024-11-08,112631584.83978473
2024-11-09,112631584.83978473
2024-11-10,112631584.83978473
2024-11-11,112427523.00677353
2024-11-12,112378126.81138341
2024-11-13,112330676.60683665
2024-11-14,112289580.11880462
2024-11-15,111446228.41096258
2024-11-16,111446228.41096258
2024-11-17,111446228.41096258
2024-11-18,111460316.27334489
2024-11-19,111564125.82162355
2024-11-20,111953143.37624905
2024-11-21,112096043.2082329
2024-11-22,112181515.10531332
2024-11-23,112181515.10531332
2024-11-24,112181515.10531332
2024-11-25,112484145.88384162
2024-11-26,112714513.02312393
2024-11-27,112734198.01802093
2024-11-28,112917360.42577542
2024-11-29,112990737.3204177
2024-11-30,112990737.3204177
2024-12-01,112990737.3204177
2024-12-01,112820943.33446826
2024-12-02,112709128.62810853
2024-12-03,112574133.01981685
2024-12-04,112421118.23808521
2024-12-05,112555429.76665626
2024-12-06,112747611.88007241
2024-12-07,112747611.88007241
2024-12-08,112747611.88007241
2024-12-09,112820122.34962252
2024-12-10,113663499.37146413
2024-12-11,114202679.37723528
2024-12-12,114766581.73040825
2024-12-13,115025369.3062007
2024-12-14,115025369.3062007
2024-12-15,115025369.3062007
2024-12-16,115484336.6589918
2024-12-17,115767026.44087811
2024-12-18,115765566.12656102
2024-12-19,114858509.0167411
2024-12-20,114696125.9406603
2024-12-21,114696125.9406603
2024-12-22,114696125.9406603
2024-12-23,114955462.90444893
2024-12-24,114467100.15471826
2024-12-25,114821465.66204002
2024-12-26,114811262.57910049
2024-12-27,114668425.35373585
2024-12-28,114668425.35373585
2024-12-29,114668425.35373585
2024-12-30,114714181.4138627
2024-12-31,114486761.85646307
2025-01-01,114486761.85646307
2025-01-01,114310403.16829175
2025-01-02,114227393.86545932
2025-01-03,114023642.84955166
2025-01-04,114023642.84955166
2025-01-05,114023642.84955166
2025-01-06,113903803.53520274
2025-01-07,113856978.83156908
2025-01-08,114152113.33780381
2025-01-09,114128754.41144632
2025-01-10,114034596.03904754
2025-01-11,114034596.03904754
2025-01-12,114034596.03904754
2025-01-13,114352813.558843
2025-01-14,114139383.44558664
2025-01-15,114363235.24179159
2025-01-16,114508486.4563937
2025-01-17,114714284.22413024
2025-01-18,114714284.22413024
2025-01-19,114714284.22413024
2025-01-20,114943027.8613446
2025-01-21,114632258.66127513
2025-01-22,114818440.82603824
2025-01-23,115087000.99071102
2025-01-24,115507835.2047351
2025-01-25,115507835.2047351
2025-01-26,115507835.2047351
2025-01-27,115507835.2047351
2025-01-28,115507835.2047351
2025-01-29,115507835.2047351
2025-01-30,115507835.2047351
2025-01-31,115507835.2047351
2025-02-01,115507835.2047351
2025-02-01,115335052.85046752
2025-02-02,115335052.85046752
2025-02-03,115147213.01269369
2025-02-04,115225022.5375593
2025-02-05,115080909.80438258
2025-02-06,115312924.91306376
2025-02-07,115504355.01642892
2025-02-08,115504355.01642892
2025-02-09,115504355.01642892
2025-02-10,115306425.18531924
2025-02-11,115675369.66236228
2025-02-12,115348962.16309327
2025-02-13,115305617.01257758
2025-02-14,115757222.36152919
2025-02-15,115757222.36152919
2025-02-16,115757222.36152919
2025-02-17,116259699.49340215
2025-02-18,116127273.42642039
2025-02-19,115826158.4394075
2025-02-20,115889796.10380661
2025-02-21,115804224.69143412
2025-02-22,115804224.69143412
2025-02-23,115804224.69143412
2025-02-24,115853388.33916308
2025-02-25,115671110.10799138
2025-02-26,115807357.08514732
2025-02-27,115948220.56285796
2025-02-28,115771382.8854816
2025-03-01,115771382.8854816
2025-03-01,115605249.79516576
2025-03-02,115605249.79516576
2025-03-03,115954474.82116297
2025-03-04,115696023.56194556
2025-03-05,115888436.40808767
2025-03-06,116199813.49822415
2025-03-07,117211467.4916601
2025-03-08,117211467.4916601
2025-03-09,117211467.4916601
2025-03-10,117564864.7175637
2025-03-11,116731019.7876962
2025-03-12,116672235.94541666
2025-03-13,117326152.90976864
2025-03-14,117492202.63062242
2025-03-15,117492202.63062242
2025-03-16,117492202.63062242
2025-03-17,117424776.70323135
2025-03-18,117159090.62592366
2025-03-19,118063087.60712044
2025-03-20,117761392.00204322
2025-03-21,117953499.60772388
2025-03-22,117953499.60772388
2025-03-23,117953499.60772388
2025-03-24,119010207.48202309
2025-03-25,118930383.32046355
2025-03-26,118718168.29467426
2025-03-27,118698693.02516887
2025-03-28,118793659.11211316
2025-03-29,118793659.11211316
2025-03-30,118793659.11211316
2025-03-31,118618799.35178101
2025-04-01,119352347.08511019
2025-04-01,118855506.12071936
2025-04-02,118983000.6227059
2025-04-03,111570682.18618017
2025-04-04,111651606.90806831
2025-04-05,111651606.90806831
2025-04-06,111651606.90806831
2025-04-07,111651606.90806831
2025-04-08,106313229.8990981
2025-04-09,107730980.62415075
2025-04-10,115156434.67674987
2025-04-11,119132164.12143962
2025-04-12,119132164.12143962
2025-04-13,119132164.12143962
2025-04-14,121042066.30734044
2025-04-15,119751032.20981903
2025-04-16,117329011.09172544
2025-04-17,119249800.58465362
2025-04-18,117736692.96676892
2025-04-19,117736692.96676892
2025-04-20,117736692.96676892
2025-04-21,115351055.58264495
2025-04-22,114007316.7309612
2025-04-23,114240580.55652107
2025-04-24,117050976.23690924
2025-04-25,118373578.34835814
2025-04-26,118373578.34835814
2025-04-27,118373578.34835814
2025-04-28,119013320.92110671
2025-04-29,117493229.76612474
2025-04-30,117493229.76612474
2025-05-01,117493229.76612474
2025-05-01,117144681.5575066
2025-05-02,117144681.5575066
2025-05-03,117144681.5575066
2025-05-04,117144681.5575066
2025-05-05,118512998.43604584
2025-05-06,118345449.52917613
2025-05-07,119333456.54125868
2025-05-08,120093458.72560205
2025-05-09,120422630.49084042
2025-05-10,120422630.49084042
2025-05-11,120422630.49084042
2025-05-12,121666995.80815302
2025-05-13,119964811.60634764
2025-05-14,121308218.28245804
2025-05-15,121239902.60008864
2025-05-16,120425423.53846666
2025-05-17,120425423.53846666
2025-05-18,120425423.53846666
2025-05-19,119553969.87702875
2025-05-20,121123231.45746398
2025-05-21,122008595.99892698
2025-05-22,121731695.99461037
2025-05-23,122094813.31986341
2025-05-24,122094813.31986341
2025-05-25,122094813.31986341
2025-05-26,124054335.33969249
2025-05-27,124088348.93825625
2025-05-28,124562865.25971772
2025-05-29,124532547.21310708
2025-05-30,124419729.51388967
2025-05-31,124419729.51388967
2025-06-01,124419729.51388967
2025-06-01,124098788.92740585
